"Spalte1","klimatische(r) Stressor(en)","Anpassungsmaßnahme","Branche(n)","Unternehmensbereich / Handlungsfeld","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Hitze","Schaffung von Anreizen für Urlaubszeiten außerhalb der besonders arbeitsintensiven Sommermonate","Wasserversorgung","Management & Arbeitsorganisation",,,,"Absatz und Arbeitsspitzen nehmen in heißen Sommern zu","Krieger & Wolf 2021",,,,,,,,,
,"Hitze","Anpassung der Auftragsplanung an zunehmende Hitzebelastung","Bausektor","Management & Arbeitsorganisation","B1; C1; Z1; D1; D2","Deutschland","Tieflagen","weniger Aufträge in hitzebelasteten Sommermonaten annehmen, mehr im Winter","Hars et al S. 62",,,,,,,,,
,"Hitze","Verwendung hitzebeständiger Materialien","Bausektor","sonstige technische Maßnahmen; Rohstoffe & Beschaffung","B1; Z1; Z2; D1","Deutschland","Tieflagen",,"Hars et al S. 62",,,,,,,,,
,"Hitze","Beantragung von Schlechtwettergeld (Lohnfortzahlung) auch in Hitzewellen","Bausektor","Finanzen","C1","Deutschland","Tieflagen","2020 beschlossen, wird voraussichtlich 2021 eingeführt; 70-85% Lohnfortzahlung falls Arbeiten hitzebedingt unterbrochen werden","Hars et al, S. 51",,,,,,,,,
,"Hitze","Dachbesprenkelung zur Gebäudekühlung","Logistik","sonstige technische Maßnahmen","Dischinger; Gaggenau","Deutschland; Frankreich","Tieflagen","z. B. in Kühllagern","Dischinger: Wir haben mittlerweile sogar unser Dach besprenkelt, damit die Kühlaggregate und so nicht überhitzen. ","Gag: On a isolé 2 bâtiments, qui sont les plus agréables actuellement. En fait c’étaient les 2 bâtiments où il faisait le plus chaud avant, on posait des ? le matin pour essayer de les refroidir. On ne savait plus quoi faire. A un moment donné, ils avaient mis des arroseurs de jardins dessus, ça marchait à condition de les allumer la nuit. Par contre, au niveau consommation d’eau… bon, c’est pompé dans la nappe, ça se réinfiltre derrière… L’isolation a changé complètement les choses, ça doit faire 10°C de différence, juste le toit !",,,,,,,,
,"Hitze","Bereitstellung von spezieller Hitzeschutzkleidung für exponierte Arbeiter in Hitzeperioden","Verarbeitendes Gewerbe; Forst- und Holzwirtschaft","sonstige technische Maßnahmen","Gaggenau","Frankreich","Tieflagen","z. B. Kühlwesten; jedoch Tragekomfort und medizinische Bedenken bachten","Monsieur Goetz m’avait mis en contact avec une société à Châtenois qui utilise des vêtements rafraîchissants. On en a testé un, mais le retour n’est pas concluant. Il y a deux types, il y en a un qu’il faut mouiller et c’est par évaporation de l’eau, donc il faut mettre un vêtement humide, l’autre refroidit à l’aide de glaçons qui ont une autonomie de 2 heures, et qu’il faut changer. Donc c’est celui-là qu’on a testé en fait. Par contre la problématique c’est que les gens disent que c’est trop local, donc sur les emplacements des glaçons, je crois qu’il y en a 8, donc 4 devant, 4 derrière, c’est là où ça n’est pas agréable à porter, donc la chaleur extérieure, le froid trop intense et localisé. Et si il y a des problèmes médicaux suite à ça… L’autre on l’a pas encore testé. On pensait que celui-là serait plus agréable, vu qu’on ne passait pas par la phase humide, et les gens peuvent garder un T-shirt en dessous",,,,,,,,,
,"Hitze","Abkühlung von Vieh mit Wasserschläuchen und Viehduschen","Landwirtschaft","sonstige technische Maßnahmen",,,,"oder Wasservernebelung im Stall; erhöht jedoch den Wasserverbrauch ","Raab 2020, S. 48",,,,,,,,,
,"Hitze","Nachtweide statt Tagweide","Landwirtschaft","sonstige technische Maßnahmen",,,,"zur Vermeidung von Hitzestress für Weidetiere; kann jedoch bei weiter Entfernung der Weide zu aufwändig sein","Raab 2020, S. 48",,,,,,,,,
,"Hitze","weißer Anstrich von Bahngleisen","Logistik","sonstige technische Maßnahmen","Evola","Italien","Tieflagen"," zur Vermeidung hitzebedingter Verformungen und Schäden","Evola:  In Italien hat man vielleicht noch mehr mit Hitze zu kämpfen, wie hier in Deutschland, weil dort ist man ja auf die schlaue Idee gekommen, dass man die Gleise weiß anstreicht, offensichtlich, ist das ein probates Mittel, um dort größere Probleme abzuwenden.",,,,,,,,,
,"Hitze","Kommunikation von Hitzerisiken in Bezug auf Arbeitssicherheit, Gesundheit, etc.","Wasserversorgung","Management & Arbeitsorganisation; Verhalten",,,,"zur Vermeidung von Fehlverhalten","online-Umfrage",,,,,,,,,
,"Hitze; allg. Temperaturanstieg","aktive Gebäudekühlung mittels Klimaanlagen","Getränkeindustrie; Wasserversorgung; Forst- und Holzwirtschaft; Logistik; Nahrungsmittelindustrie; Verarbeitendes Gewerbe","Bauliche Maßnahmen; sonstige technische Maßnahmen","Decker; C2; Gaggenau; Barth","Deutschland; Frankreich","Tieflagen","zum Klimatisieren von Arbeitsräumen, Produktionsstätten, Lager, etc.; von mobilen Kühl- und Splitgeräten bis zu komplexen Klimaanlagen; jedoch erhöhter Energieverbrauch","Decker: Das ist jetzt zwei Mal passiert dieses Jahr, dass es wirklich so heiß war, dass wir dachten: „Oh ja!“ Und selbst da haben wir geguckt: Da gibt es so kleine Klimagerätchen, in die man Wasser füllt –dass man eher so etwas nimmt und nicht so ein Klima[...]. ","Hars et al, S. 62","Gag: On a une étude qui tourne avec la société Sextan, société d’ingénieurie à Entzheim, qui est spécialisée dans l’isolation pour la partie industrie, etc. Donc avec eux, on est en train de voir pour pouvoir mettre un système de rafraîchissement. Donc ça ne serait pas une climatisation, ce serait simplement un compresseur d’air, qui l’abaisserait à 24°C et qu’on essaierait de diffuser ça, ciblé sur les 5 ou 6 postes qui sont concernés. Il est clair que ça aura aussi un coût pour nous derrière.","Kolhof et al: Hierfür  ist  es  erforderlich,  dass  Lagerhallen und Fahrzeuge, sofern noch nicht geschehen, mit Klimaanlagen  nachgerüstet werden. Dies geht  aus  den  Impact  Chains  der  Firma  Barth  Logistik  hervor","Dörr 2021",,,,,
,"Hitze; allg. Temperaturanstieg","Passive Kühlung von Betriebsgebäuden und Anlagen, z. B. durch Gebäudeisolierung und Lüftungssysteme","Getränkeindustrie; Wasserversorgung; Bausektor; Energiewirtschaft; Nahrungsmittelindustrie; Landwirtschaft; Verarbeitendes Gewerbe","Bauliche Maßnahmen; sonstige technische Maßnahmen; Energie","C1; C2; IWB","Deutschland; Schweiz","Tieflagen ","von einfachen Sofortmaßnahmen wie Klebefolien über Beschattungsmaßnahmen (Jalousien, etc.) bis zu kompletten Gebäudesanierungen mit Isolierung der Außenhülle; auch Lagerhallen, Ställe (""Offenstall""), Produktionsgebäude","Hars et al, S. 62","IWB: ich  denke  schon,  dass  es  eine größere Rolle spielt, wenn die Temperaturen im Sommer deutlich nach oben gehen, dass die Arbeitsleistung unter Umständen zurückgehen kann. Da muss man darauf reagieren, indem man  Gebäude  klimatisiert,  aber  auf  intelligente  Art  und  Weise. Wir  haben  in  unseren Gebäuden  keine  klassischen  Klimaanlagen,  sondern  versuchen  über  andere  Möglichkeiten unsere  Gebäude  zu  kühlen.  Das  funktioniert  auch,  aber  wenn  sich  das  so  weiterentwickelt muss man sicherlich nochmal nachjustieren","Dörr 2021","Zeller 2021, S. 67","online-Befragung",,,,,
,"allg. Temperaturanstieg; Hitze","Eigene Energieproduktion aus regenerativen Quellen","Getränkeindustrie; Forst- und Holzwirtschaft; Nahrungsmittelindustrie; Landwirtschaft; Verarbeitendes Gewerbe; Logistik; Wasserversorgung","Energie; bauliche Maßnahmen","Kleines Bierhaus; Decker; Holzbearbeitung Heinzelmann","Deutschland","Tieflagen; mittlere Lagen; Hochlagen","z. B. mit PV-Anlage auf Gebäudedach, Windräder, Biogas-BHKWs, etc.","[..] Ich habe mir zumindest mal eine PV-Anlage auf’s Dach gemacht, um zumindest einmal Geld  zu  sparen –ganz  klar.  Aber  auch  um  mitzuhelfen,  die  Sache  nicht  noch  weiter  zu verschlimmern.   Also   nicht   noch   mehr   Energie   wahnsinnig   rausballern,   wie   es   ein Kohlekraftwerk   macht,   sondern   mindestens   versuchen,   über   meinen   Dach-Strom   das abzufangen.","Decker: Einsatz von Energie für Kühltechnik und auch für Wärme. Ein ganz interessanter Vorreiter ist da die Brauerei Rogg in Lenzkirch.  Die  sind  solarzertifiziert –die  haben  große  Photovoltaik-Anlagen.  Die  heizen  ihr Wasser –ich glaube über 80% -mit Sonnenenergie.","HH: Weil zum Beispiel auch wir hier betreiben eine Holztrocknung und das wird auch über Biomasse geregelt,also früher konnte man da wirklich (...) Öl verbrennen quasi,um  zu  heizen  und  da  gehen  wir jetzt  auch  hin. Quasi vom  Brennholz  Biomasseanlagen  werden  gefördert,  weswegen  sie, ich glaube 45% Zuschüsse vom Bund, was auch richtig ist ","Dörr 2021 (4 von 7 KMU haben bereits PV-Anlage installiert)","Zeller 2021","online-Umfrage",,,,
,"allg. Temperaturanstieg","Erhöhung der Energieeffizienz bei unternehmensinternen Prozessen","Getränkeindustrie; Nahrungsmittelindustrie; Landwirtschaft; Verarbeitendes Gewerbe; Wasserversorgung","Energie","Kleines Bierhaus; Decker; ","Deutschland","Tieflagen; Hochlagen","z. B. durch sparsamere Geräte, bei Kühlprozessen, durch verbesserte Mess- und Regeltechnik in elektr. Systemen (Smart Metering), Optimierung von Maschinen, LED-Beleuchtung, etc.","Geplant war im Winter das neue Kühlaggregat 1 zu ersetzen, oder [...]. An sich ist es vergleichbar mit einem privaten Kühlschrank: Der von vor 10 Jahren ist halt auch nicht so effektiv wie ein neues Modell. Da werde ich gerade das aktuelle Modell im Winter einbauen lassen. [...] Hinderungsgründe vom Gesetzgeber –nee. Eher das Geld für  die  ständige  Modernisierung.  In  meinem  kleinen  Ein-Mann-Betrieb  ist  es  schwierig  halt ständig neue Isolierungen oder neue Kühlermaschinen oder sonst was einzubauen. ","Decker: Der Joachim Rogg ist da schon sehr weit mit vorne dran. Auch wenn der neue Anlagen kauft, ist das unter dem Aspekt der Energieeffizienz. Also generell  eigentlich  bei  allen  Brauereien.","Dörr 2021, S. 42","Zeller 2021, S. 67","online-Befragung",,,,,
,"Hitze; allg. Temperaturanstieg","Flexibiliserung von Arbeitsabläufen und Produktionsprozessen","Nahrungsmittelindustrie","Management & Arbeitsorganisation",,,,"z. B. Abpacken von Grillgut bei Hitzewellen..","Dörr 2021, S. 41",,,,,,,,,
,"Hitze; allg. Temperaturanstieg","Einrichtung von Kühllagerräumen in nordexponierten oder beschatteten Gebäudeteilen","Nahrungsmittelindustrie","Energie; bauliche Maßnahmen",,,,"zur Reduzierung des Kühlenergiebedarfs wg. Geringerer Aufheizung","Dörr 2021, S. 44",,,,,,,,,
,"Hitze; Gewitter & Hagel; Starkregen; Hochwasser; Sturm; Schnee","Vorhalten einer Notstromversorgung, möglichst aus regenerativen Quellen","Wasserversorgung; Forst- und Holzwirtschaft","sonstige technische Maßnahmen; Energie","SWMS; Sägewerk 3","Deutschland","Tieflagen; Hochlagen","zur Anpassung an häufigere Blackouts in Hitzewellen, durch Überlastung und Überhitzung des Stromnetzes; oder an Black-Outs bei Extremereignissen","SWMS: immer  auch  ganz  wichtig,  ist  bei  uns  Notstrom,  weil  wir  immer  mehr Blackouts  bekommen.   Das   sind   keine   großen  aber  halt  regionale   Stromausfälle   und inzwischen braucht es Strom überall –jede Pumpe braucht Strom, alles läuft mit Strom -und auch da sind die Anforderungen natürlich gestiegen, dass sofort das System umschaltet und wir  müssen  überall  gucken,  dass  wir  Notstrom aufbauen und  das  versuchen  mehr  wenn  es geht auch gekoppelt mit PV und Speicher, dass wir regional ein Backup haben.","Säge 3: wir haben eigentlich schon immer einen Stromaggregat zum selben Strom erzeugen. Das ich hab halt ein kleiner Betrieb darum wird das auf dem kurzen Dienstweg geregelt aber darum haben wir weil es immer mal vorkam, dass der Strom ausgefallen ist, haben wir so viel Strom,  dass  man,  sagen  wir,  dass  wir  die  Notsachen  weiter  betreiben  können",,,,,,,,
,"Hitze; Dürre; allg. Temperaturanstieg; Sturm","Bewässerung von gelagerten Stämmen zur Reduzierung von Waldbrandgefahr und Borkenkäferbefall (Nasslager)","Forst- und Holzwirtschaft","sonstige technische Maßnahmen","Holzbearbeitung Heinzelmann; Sägewerk 3","Deutschland","mittlere Lagen; Hochlagen","jedoch erhöhter Wasserverbrauch","HH: die  Tatsache  eben, wenn  man  Holz  unter  Wasser  legt,  es konservieren kann und es das, in Anführungszeichen Mindesthaltbarkeitsdatum etwas nach hinten   verschieben   kann.Das   kommt   einem   zwar   entgegen,   scheitert   aber   an Genehmigungen. ","Säge3: Dürren und Trockenheit: Gut, jetzt hat es zum Beispiel mit dem Holz geregnet, dann kann es Schwierigkeitengeben. Das ist eigentlich dasStammholz  und  Sturmanfall  kann  man  am  besten  auf  einem Nasslagereben konservieren",,,,,,,,
,"allg. Temperaturanstieg","Verwendung von industrieller Abwärme für interne Prozesse & Betrieb","Verarbeitendes Gewerbe; Nahrungsmittelindustrie","Energie; sonstige technische Maßnahmen","Gaggenau","Frankreich","Tieflagen","Nutzung von industrieller Abwärme (z. B. aus Kühlprozessen) für andere Prozesse im Unternehmen, dadurch Senkung der CO2-Emissionen und Senkung der Energiekosten","Gag:  L’eau doit être montée en température, entre 50 et 60°C. Une des idées qu’on a en ce moment avec Sextan, c’est d’essayer de récupérer la chaleur du four et de l’injecter dans le chauffage de cette eau. ","Dörr 2021, S. 44",,,,,,,,
,"allg. Temperaturanstieg","Förderung des Absatzes von Energie aus regenerativen Quellen","Energieversorgung","Innovationen im Geschäftsmodell","IWB; SWMS","Schweiz; Deutschland","Tieflagen","statt wie bisher aus fossilen Energieträgern bzw. als neues Geschäftsfeld","IWB: Wir wollen unsere eigenen CO2-Emissionen und die Emissionen durch unsere Vertrieb, vor allem durch  den  Absatz von  Wärmeenergie–vor  allem  Erdgas –bis  2030  um  2/3  reduzieren gegenüber 1990. Damit verfolgen wir ein sehr ambitioniertes Ziel in der Schweiz, aber auch im  europäischen  Vergleich.  Wir  sind  mit  dem  Konzept  Wärmetransformation,  das  ich  eben erwähnt  habe –also  die  Überführung  von  Kunden,  die  fossile  Wärmeenergie  nutzenauf erneuerbare Energie –daran, unser Kerngeschäft und eines unserer wichtigsten Geschäfte umzubauen.  Das  heißt,  wir  haben  bewusst  entschieden,  dass  wir  den  Erdgasabsatz kontinuierlich  zurücknehmen  und  bauen  letztendlich  große  Teile  des  Unternehmens  um  auf Basis der klimatischen Veränderungen –oder bzw. um den Klimawandel mit unserem Einfluss ein Stück weit positiv zu beeinflussen. ","SWMS: Also  wenn  wir  jetzt  von  der  Wasserseite weggehen, natürlich gibt es da auch viele andere Möglichkeiten wo wir wieder Nutznießer sind von dem Ganzen. Weil wir einfach im PV viel machen wollen. Gäbe es den Klimawandel nicht und wären wir nicht in so einer sonnenreichen Gegend, würde sich das ganze Geschäftsmodell PV  hier  nicht  so  tragen  aber  im  Moment  boomt  hier  der  Markt.",,,,,,,,
,"allg. Temperaturanstieg","energetische Sanierung von Bestandsgebäuden","Bausektor; Landwirtschaft; Nahrungsmittelindustrie; Wasserversorgung","Energie; bauliche Maßnahmen",,,,"zur Reduzierung des Gebäudeenergieverbrauchs; z. B. Isolierung der Gebäudehülle, neue Fenster, Austausch des Heizsystems, etc.","online-Umfrage",,,,,,,,,
,"allg. Temperaturanstieg; Hitze; Dürre","Waldumbau I - weniger Monokulturen, mehr naturnahe Mischwälder","Forst- und Holzwirtschaft; Energieversorgung","Rohstoffe & Beschaffung","IWB; Sägewerk 3","Schweiz; Deutschland","Tieflagen; mittlere Lagen; Hochlagen","um Resilienz gegenüber Klimawandel zu steigern und stabile Nutzholzerträge zu halten","IWB: Auf  der  anderen  Seite  haben wir mehrere Holzkraftwerke, um Strom und Wärme zu erzeugen, d.h. die Veränderung in den Wäldern hat schon Einfluss auf die Energieproduktion langfristig gesehen. Da ist es wichtig, die  Wälder  und  das  Forstmanagement  umzubauen.  Wir  haben  darauf  nur  einen  indirekten Einfluss,  aber  das  wird  sich  in  den  nächsten  Jahren  und  Jahrzehnten  aufweisen,  ob  die Forstbetriebe  es  schaffen  in  so  kurzer  Zeit  auf  die  schnell  veränderndenklimatischen Bedingungen zu reagieren–das ist relativ schwierig.","Säge 3: Ja  gut,  das  ist  bei  uns  im  Wald  hat  man  jetzt  im  Gegensatz  zu  früher  eine  andere Wirtschaftsweise. Also man nennt es den Naturnahen Waldbau,aber dann ist es so dass man zum Beispiel,dass man nicht mehr gegen den Käfer vorgegangen ist in dem Maß [...]  Ich seh es halt so, dass Monokulturen und Plantagen im Prinzip Grundlagen für die menschliche Existenz ist (...)der Nutzwald wenn wir jetzt Holz sägen, dann ist das Kohlendioxid gebunden im Holz und wenn es verbaut wird ist es noch  viele  Jahre  gebunden. [...] Und  bei  uns  ists  so  wenn  man  da  jetzt  einen Mischwald machen will und da muss man schon mit Gewalt dran, muss sie setzen und muss die bevorzugen, die anderen wegschneiden, dass die so runter kommen und ob dasdann der Naturwald ist das ist weiß ich nicht.",,,,,,,,
,"allg. Temperaturanstieg; Hitze; Dürre","Waldumbau II - Förderung heimischer hitze- und trockenresistenter Arten","Forst- und Holzwirtschaft","Rohstoffe & Beschaffung","Holzbearbeitung Heinzelmann; Forstbetrieb 1","Deutschland","Tieflagen; mittlere Lagen; Hochlagen","z. B. Eiche; Fichtenanteil wird zurückgehen","HH: Der Schwarzwald  wird  erstmal  umgebaut  werden,  denkt  ich mal.  Das  Thema  Fichte  ist  glaub ich durch, da gibt es auch Prognosen auch von der Forstlichen Versuchsanstalt, die ist ja auch in Freiburg, wo die Fichten die Fichte noch überleben kann. (...)weiter oben auf dem Berg, andere Höhenlagen, 4,5,600 Meter, das haben wir im Schwarzwald ja durchaus. Und dann Nordhänge und dann Südhänge und so weiter, aber im Großenund Ganzenwird sie aussterben.Dann klar, guckt man wie wird aufgeforstet, sicherviel mit Laubholz,(...), dann wird Douglasie aufgeforstet, das ist momentan so ein Trend Thema","Forst 1:  als Forstunternehmen (...) weil wir möchten möglichst nachhaltig arbeiten. Wir pflanzen    mehr    Bäume    wie    wir    wegmachen,    wir    pflanzen    zukunftsorientiert, trockenresistente Baumarten.","IWB: Auf  der  anderen  Seite  haben wir mehrere Holzkraftwerke, um Strom und Wärme zu erzeugen, d.h. die Veränderung in den Wäldern hat schon Einfluss auf die Energieproduktion langfristig gesehen. Da ist es wichtig, die  Wälder  und  das  Forstmanagement  umzubauen.  Wir  haben  darauf  nur  einen  indirekten Einfluss,  aber  das  wird  sich  in  den  nächsten  Jahren  und  Jahrzehnten  aufweisen,  ob  die Forstbetriebe  es  schaffen  in  so  kurzer  Zeit  auf  die  schnell  veränderndenklimatischen Bedingungen zu reagieren–das ist relativ schwierig.",,,,,,,
